plate_id,observer_id,date,concentration,cv
C.2011.17,BJD,2011-05-26,33.747,NA
C.2011.22,BJD,2011-05-26,74.03,6.3
C.2011.22,BJD,2011-05-26,12.873,2.1
C.2011.33,BJD,2011-05-28,27.876,14.1
C.2011.15,BJD,2011-05-24,12.576,NA
C.2011.22,BJD,2011-05-26,47.814,3.1
C.2011.46,BJD,2011-05-30,35.5,24.6
C.2011.46,BJD,2011-05-30,8.221,23.2
C.2011.42,BJD,2011-05-29,29.022,26.7
C.2011.42,BJD,2011-05-29,393.679,49.8
C.2011.47,BJD,2011-05-30,9.864,21.1
C.2011.47,BJD,2011-05-30,37.075,38.3
C.2011.54,BJD,2011-05-31,95.837,12.4
C.2011.54,BJD,2011-05-31,20.205,4.9
C.2011.41,BJD,2011-05-29,45.77,74.7
C.2011.41,BJD,2011-05-29,41.933,17.6
C.2011.52,BJD,2011-05-31,7.363,39.3
C.2011.52,BJD,2011-05-31,16.02,34.8
C.2011.52,BJD,2011-05-31,12.408,6.9
C.2011.52,BJD,2011-05-31,14.485,NA
C.2011.52,BJD,2011-05-31,17.25,5.8
C.2011.52,BJD,2011-05-31,7.188,37.2
C.2011.56,BJD,2011-06-01,36.615,27.6
C.2011.2,BJD,2011-05-15,5.928,34
C.2011.56,BJD,2011-06-01,34.286,24.9
C.2011.7,BJD,2011-05-22,31.311,3.2
C.LTGrid.2008.14,BJD,2009-04-17,53.409,NA
C.2007.1,BJD,2009-04-01,76.906,NA
C.LTGrid.2008.14,BJD,2009-04-17,33.422,NA
C.2007.1,BJD,2009-04-01,64.552,NA
C.LTGrid.2008.14,BJD,2009-04-17,46.529,NA
C.2007.1,BJD,2009-04-01,44.35,NA
C.LTGrid.2008.14,BJD,2009-04-17,58.233,NA
C.2007.1,BJD,2009-04-01,30.35,NA
C.LTGrid.2008.14,BJD,2009-04-17,172.216,NA
C.2007.1,BJD,2009-04-01,34.23,NA
C.LTGrid.2008.14,BJD,2009-04-17,7.664,NA
C.2007.1,BJD,2009-04-01,95.122,NA
C.LTGrid.2008.14,BJD,2009-04-17,22.776,NA
C.2007.1,BJD,2009-04-01,64.461,NA
C.2007.1,BJD,2009-04-01,27.773,NA
C.2007.1,BJD,2009-04-01,12.68,NA
C.2007.1,BJD,2009-04-01,41.256,NA
C.2007.1,BJD,2009-04-01,9.428,NA
C.LTGrid.2008.14,BJD,2009-04-17,38.809,NA
C.2007.1,BJD,2009-04-01,101.91,NA
C.2007.1,BJD,2009-04-01,15.719,NA
C.2007.1,BJD,2009-04-01,35.285,NA
C.LTGrid.2008.14,BJD,2009-04-17,72.585,NA
C.2007.1,BJD,2009-04-01,154.39,NA
C.LTGrid.2008.14,BJD,2009-04-17,70.933,NA
C.2007.1,BJD,2009-04-01,32.965,NA
C.LTGrid.2008.14,BJD,2009-04-17,93.57,NA
C.2007.1,BJD,2009-04-01,67.372,NA
C.LTGrid.2008.14,BJD,2009-04-17,62.063,NA
C.2007.1,BJD,2009-04-01,36.998,NA
C.LTGrid.2008.14,BJD,2009-04-17,59.959,NA
C.2007.1,BJD,2009-04-01,22.986,NA
C.LTGrid.2008.14,BJD,2009-04-17,117.341,NA
C.2007.1,BJD,2009-04-01,28.568,NA
C.LTGrid.2008.14,BJD,2009-04-17,93.503,NA
C.2007.1,BJD,2009-04-01,12.625,NA
C.2011.2,BJD,2011-05-15,51.184,7.6
C.2011.2,BJD,2011-05-15,34.326,3.7
C.2011.2,BJD,2011-05-15,67.893,1.1
C.2011.2,BJD,2011-05-15,20.351,1.7
C.2007.4,BJD,2009-04-17,18.302,NA
C.2007.4,BJD,2009-04-17,7.104,NA
C.2007.4,BJD,2009-04-17,7.625,NA
C.2011.2,BJD,2011-05-15,70.331,10.3
C.2011.2,BJD,2011-05-15,14.003,5.1
C.2011.2,BJD,2011-05-15,27.491,10.8
C.2007.4,BJD,2009-04-17,71.659,NA
C.2011.2,BJD,2011-05-15,24.722,16.7
C.2011.56,BJD,2011-06-01,14.281,1.5
C.2011.56,BJD,2011-06-01,15.057,2.4
C.2011.56,BJD,2011-06-01,10.219,NA
C.2011.2,BJD,2011-05-15,34.296,4.1
C.2011.56,BJD,2011-06-01,43.489,6.2
C.LTGrid.2008.14,BJD,2009-04-17,22.741,NA
C.LTGrid.2008.14,BJD,2009-04-17,50.077,NA
C.LTGrid.2008.14,BJD,2009-04-17,18.302,NA
C.LTGrid.2008.14,BJD,2009-04-17,7.104,NA
C.LTGrid.2008.14,BJD,2009-04-17,7.625,NA
C.LTGrid.2008.14,BJD,2009-04-17,11.84,NA
C.LTGrid.2008.14,BJD,2009-04-17,6.772,NA
C.2007.1,BJD,2009-04-01,18.939,NA
C.2007.1,BJD,2009-04-01,11.715,NA
C.2007.1,BJD,2009-04-01,14.033,NA
C.2007.1,BJD,2009-04-01,34.628,NA
C.2007.1,BJD,2009-04-01,37.247,NA
C.2007.1,BJD,2009-04-01,28.71,NA
C.2007.1,BJD,2009-04-01,6.433,NA
C.2007.1,BJD,2009-04-01,15.775,NA
C.2007.1,BJD,2009-04-01,36.48,NA
C.2007.1,BJD,2009-04-01,21.672,NA
C.2007.1,BJD,2009-04-01,40.082,NA
C.2007.1,BJD,2009-04-01,25.121,NA
C.2007.1,BJD,2009-04-01,48.954,NA
C.2007.1,BJD,2009-04-01,21.883,NA
C.2007.2,BJD,2009-04-01,10.439,NA
C.2007.2,BJD,2009-04-01,42.66,NA
C.2007.2,BJD,2009-04-01,91.121,NA
C.2007.2,BJD,2009-04-01,49.466,NA
C.2007.2,BJD,2009-04-01,36.198,NA
C.2007.2,BJD,2009-04-01,44.911,NA
C.2007.2,BJD,2009-04-01,117.042,NA
C.2007.2,BJD,2009-04-01,65.144,NA
C.2007.2,BJD,2009-04-01,14.963,NA
C.2007.2,BJD,2009-04-01,40.029,NA
C.2007.2,BJD,2009-04-01,35.512,NA
C.2007.2,BJD,2009-04-01,38.345,NA
C.2007.2,BJD,2009-04-01,32.832,NA
C.2007.2,BJD,2009-04-01,12.722,NA
C.2007.2,BJD,2009-04-01,21.116,NA
C.2007.2,BJD,2009-04-01,130.349,NA
C.2007.2,BJD,2009-04-01,107.087,NA
C.2007.2,BJD,2009-04-01,59.152,NA
C.2007.2,BJD,2009-04-01,122.701,NA
C.2007.2,BJD,2009-04-01,158.109,NA
C.2007.2,BJD,2009-04-01,33.692,NA
C.2007.2,BJD,2009-04-01,46.545,NA
C.2007.2,BJD,2009-04-01,62.617,NA
C.2007.2,BJD,2009-04-01,40.253,NA
C.2007.2,BJD,2009-04-01,10.628,NA
C.2007.2,BJD,2009-04-01,25.909,NA
C.2007.2,BJD,2009-04-01,98.4,NA
C.2007.2,BJD,2009-04-01,23.284,NA
C.2007.2,BJD,2009-04-01,108.317,NA
C.2007.2,BJD,2009-04-01,16.905,NA
C.2007.2,BJD,2009-04-01,24.975,NA
C.2007.2,BJD,2009-04-01,13.43,NA
C.2007.2,BJD,2009-04-01,35.477,NA
C.2007.2,BJD,2009-04-01,51.073,NA
C.2007.2,BJD,2009-04-01,19.454,NA
C.2011.56,BJD,2011-06-01,12.367,NA
C.2011.56,BJD,2011-06-01,33.61,6.4
C.2011.56,BJD,2011-06-01,115.035,NA
C.2011.56,BJD,2011-06-01,17.602,2.7
C.2011.2,BJD,2011-05-15,25.756,3.8
C.2011.2,BJD,2011-05-15,54.307,11.7
C.2011.20,BJD,2011-05-26,10.818,21.3
C.2011.11,BJD,2011-05-23,60.779,1.8
C.2011.20,BJD,2011-05-26,61.771,5.4
C.2011.40,BJD,2011-05-29,24.393,1.2
C.2011.20,BJD,2011-05-26,22.279,2.7
C.2011.15,BJD,2011-05-24,11.695,NA
C.2011.21,BJD,2011-05-26,96.43,6.2
C.2011.31,BJD,2011-05-28,5.719,2.5
C.2011.32,BJD,2011-05-28,29.718,5.9
C.2011.29,BJD,2011-05-27,36.395,7.5
C.2011.11,BJD,2011-05-23,38.71,12.5
C.2011.35,BJD,2011-05-28,19.394,10.3
C.2011.21,BJD,2011-05-26,134.648,18.9
C.2011.20,BJD,2011-05-26,19.249,4.3
C.2011.19,BJD,2011-05-25,18.229,10
C.2011.7,BJD,2011-05-22,11.6,NA
C.2011.32,BJD,2011-05-28,12.135,3.3
C.2011.7,BJD,2011-05-22,27.102,15.2
C.2011.25,BJD,2011-05-27,18.054,3.7
C.2011.33,BJD,2011-05-28,118.841,1.1
C.2011.21,BJD,2011-05-26,47.295,9.2
C.2011.10,BJD,2011-05-22,29.017,0.5
C.2011.24,BJD,2011-05-26,26.887,4.8
C.2011.20,BJD,2011-05-26,12.295,NA
C.2011.26,BJD,2011-05-27,10.088,8.9
C.2011.20,BJD,2011-05-26,30.418,0
C.2011.26,BJD,2011-05-27,36.399,11.5
C.2011.21,BJD,2011-05-26,40.973,NA
C.2011.19,BJD,2011-05-25,92.167,5.9
C.2011.25,BJD,2011-05-27,26.156,NA
C.2011.33,BJD,2011-05-28,14.768,22
C.2011.21,BJD,2011-05-26,11.124,14.3
C.2011.20,BJD,2011-05-26,31.362,1.2
C.2011.21,BJD,2011-05-26,36.138,NA
C.2011.26,BJD,2011-05-27,15.521,NA
C.2011.32,BJD,2011-05-28,18.486,NA
C.2011.26,BJD,2011-05-27,68.224,8.6
C.2011.8,BJD,2011-05-22,39.375,NA
C.2011.11,BJD,2011-05-23,17.772,NA
C.2011.43,BJD,2011-05-30,37.461,NA
C.2011.23,BJD,2011-05-26,36.474,11.7
C.2011.19,BJD,2011-05-25,86.06,4.1
C.2011.11,BJD,2011-05-23,16.96,14.1
C.2011.19,BJD,2011-05-25,12.931,9.4
C.2011.25,BJD,2011-05-27,22.634,NA
C.2011.21,BJD,2011-05-26,41.951,0.2
C.2011.15,BJD,2011-05-24,133.845,4.5
C.2011.21,BJD,2011-05-26,52.889,18.1
C.2011.31,BJD,2011-05-28,59.768,7.1
C.2011.34,BJD,2011-05-28,12.273,8.9
C.2011.13,BJD,2011-05-23,84.612,6.4
C.2011.14,BJD,2011-05-23,53.228,5
C.2011.20,BJD,2011-05-26,9.676,NA
C.2011.26,BJD,2011-05-27,22.473,NA
C.2011.11,BJD,2011-05-23,16.977,5.2
C.2011.31,BJD,2011-05-28,18.065,NA
C.2011.16,BJD,2011-05-24,16.53,NA
C.2011.9,BJD,2011-05-22,71.54,6.1
C.2011.10,BJD,2011-05-22,19.016,12.9
C.2011.33,BJD,2011-05-28,38.313,NA
C.2011.11,BJD,2011-05-23,33.613,14.6
C.2011.8,BJD,2011-05-22,14.593,5.7
C.2011.7,BJD,2011-05-22,22.074,10.3
C.2011.9,BJD,2011-05-22,11.684,15.2
C.2011.10,BJD,2011-05-22,12.391,20.4
C.2011.25,BJD,2011-05-27,59.024,1
C.2011.26,BJD,2011-05-27,23.075,12.1
C.2011.7,BJD,2011-05-22,13.761,14.6
C.2011.9,BJD,2011-05-22,15.37,2.9
C.2011.21,BJD,2011-05-26,12.616,NA
C.2011.32,BJD,2011-05-28,35.669,9.8
C.2011.8,BJD,2011-05-22,32.381,9
C.2011.16,BJD,2011-05-22,32.375,4.7
C.2011.11,BJD,2011-05-23,16.618,18.2
C.2011.8,BJD,2011-05-22,30.24,16
C.2011.26,BJD,2011-05-27,17.021,2
C.2011.7,BJD,2011-05-22,43.836,3.7
C.2011.8,BJD,2011-05-22,16.436,3.8
C.2011.25,BJD,2011-05-27,23.781,3.3
C.2011.20,BJD,2011-05-26,15.14,2.8
C.2011.39,BJD,2011-05-29,32.167,NA
C.2011.20,BJD,2011-05-27,15.786,3.6
C.2011.11,BJD,2011-05-23,56.146,10.5
C.2011.9,BJD,2011-05-22,71.023,8.2
C.2011.21,BJD,2011-05-26,17.958,1.1
C.2011.11,BJD,2011-05-23,21.467,4.9
C.2011.20,BJD,2011-05-26,41.825,NA
C.2011.16,BJD,2011-05-24,55.692,1.1
C.2011.7,BJD,2011-05-22,18.597,17.8
C.2011.31,BJD,2011-05-28,16.699,0
C.2011.20,BJD,2011-05-26,34.669,25.8
C.2011.16,BJD,2011-05-24,13.031,15.4
C.2011.19,BJD,2011-05-25,10.083,2.8
C.2011.33,BJD,2011-05-28,24.623,0.2
C.2011.19,BJD,2011-05-25,65.166,NA
C.2011.21,BJD,2011-05-26,2.66,0
C.2011.19,BJD,2011-05-25,9.457,5.3
C.2011.8,BJD,2011-05-22,44.14,6.3
C.2011.35,BJD,2011-05-28,20.794,9.7
C.2011.32,BJD,2011-05-28,11.39,11.4
C.2011.11,BJD,2011-05-23,22.552,0.5
C.2011.11,BJD,2011-05-23,12.894,3.7
C.2011.11,BJD,2011-05-23,79.224,3.1
C.2011.8,BJD,2011-05-22,15.433,6.1
C.2011.30,BJD,2011-05-27,13.146,3.4
C.2011.10,BJD,2011-05-22,77.979,6.7
C.2011.8,BJD,2011-05-22,65.27,NA
C.2011.7,BJD,2011-05-22,20.813,4.1
C.2011.9,BJD,2011-05-22,11.685,13
C.2011.8,BJD,2011-05-22,25.155,8.7
C.2011.25,BJD,2011-05-27,20.292,NA
C.2011.39,BJD,2011-05-29,21.219,1
C.2011.10,BJD,2011-05-22,39.518,3.7
C.2011.32,BJD,2011-05-28,6.767,NA
C.2011.26,BJD,2011-05-27,15.912,2.2
C.2011.10,BJD,2011-05-22,31.352,11.8
C.2011.11,BJD,2011-05-23,17.141,4.9
C.2011.10,BJD,2011-05-22,26.573,17.5
C.2011.13,BJD,2011-05-23,13.983,12.8
C.2011.26,BJD,2011-05-27,37.38,7.5
C.2011.29,BJD,2011-05-27,7.918,9
C.2011.10,BJD,2011-05-22,27.155,14.5
C.2011.8,BJD,2011-05-22,8.304,13.1
C.2011.22,BJD,2011-05-26,26,0.8
C.2011.8,BJD,2011-05-22,58.613,10.5
C.2011.22,BJD,2011-05-26,10.623,5.3
C.2011.19,BJD,2011-05-25,52.93,4.3
C.2011.29,BJD,2011-05-27,9.68,13.5
C.2011.9,BJD,2011-05-22,47.649,7.6
C.2011.8,BJD,2011-05-22,14.386,10.4
C.2011.53,BJD,2011-05-31,11.901,20.1
C.2011.22,BJD,2011-05-26,5.899,NA
C.2011.11,BJD,2011-05-23,12.352,2.9
C.2011.20,BJD,2011-05-26,3.144,NA
C.2011.11,BJD,2011-05-23,10.716,4.2
C.2011.13,BJD,2011-05-23,29.73,17.7
C.2011.10,BJD,2011-05-22,69.829,12
C.2011.32,BJD,2011-05-28,6.05,NA
C.2011.34,BJD,2011-05-28,14.192,2.2
C.2011.8,BJD,2011-05-22,19.454,1.4
C.2011.8,BJD,2011-05-22,22.087,10.8
C.2011.31,BJD,2011-05-28,16.671,NA
C.2011.20,BJD,2011-05-26,8.831,18.9
C.2011.25,BJD,2011-05-27,28.203,11.8
C.2011.26,BJD,2011-05-27,25.047,NA
C.2011.10,BJD,2011-05-22,26.686,4.2
C.2011.10,BJD,2011-05-22,48.465,8.9
C.2011.11,BJD,2011-05-23,16.665,33.8
C.2011.13,BJD,2011-05-23,7.458,3.8
C.2011.20,BJD,2011-05-26,12.244,3.6
C.2011.25,BJD,2011-05-27,9.793,11.8
C.2011.21,BJD,2011-05-26,15.894,15.4
C.2011.26,BJD,2011-05-27,14.323,13.9
C.2011.7,BJD,2011-05-22,29.359,10.3
C.2011.51,BJD,2011-05-31,29.662,7.3
C.2011.21,BJD,2011-05-26,19.478,3.9
C.2011.8,BJD,2011-05-22,12.282,10.3
C.2011.15,BJD,2011-05-24,13.86,4.6
C.2011.20,BJD,2011-05-26,50.242,1.2
C.2011.9,BJD,2011-05-22,52.4,2.8
C.2011.34,BJD,2011-05-28,6.385,9.1
C.2011.7,BJD,2011-05-22,14.035,12.7
C.2011.7,BJD,2011-05-22,14.513,10.2
C.2011.26,BJD,2011-05-27,19.177,10.7
C.2011.9,BJD,2011-05-22,8.882,17.6
C.2011.29,BJD,2011-05-27,13.398,6.4
C.2011.11,BJD,2011-05-23,41.055,0.9
C.2011.21,BJD,2011-05-26,19.826,18.8
C.2011.13,BJD,2011-05-23,74.045,20.9
C.2011.9,BJD,2011-05-22,19.109,14.3
C.2011.9,BJD,2011-05-22,16.804,12.2
C.2011.10,BJD,2011-05-22,18.852,10.1
C.2011.11,BJD,2011-05-23,13.101,NA
C.2011.16,BJD,2011-05-24,10.457,9.7
C.2011.16,BJD,2011-05-24,54.575,10.8
C.2011.9,BJD,2011-05-22,34.402,0.4
C.2011.19,BJD,2011-05-25,15.473,NA
C.2011.24,BJD,2011-05-26,20.484,0.4
C.2011.32,BJD,2011-05-28,9.845,NA
C.2011.20,BJD,2011-05-26,35.315,NA
C.2011.10,BJD,2011-05-22,34.781,16.4
C.2011.29,BJD,2011-05-27,11.569,3.8
C.2011.20,BJD,2011-05-26,18.652,17.1
C.2011.9,BJD,2011-05-22,12.155,11.8
C.2011.23,BJD,2011-05-26,18.205,16.6
C.2011.32,BJD,2011-05-28,13.137,5.4
C.2011.34,BJD,2011-05-28,60.982,NA
C.2011.33,BJD,2011-05-28,27.322,9.7
C.2011.9,BJD,2011-05-22,35.049,1.5
C.2011.35,BJD,2011-05-28,15.999,7.1
C.2011.11,BJD,2011-05-23,12.616,6.6
C.2011.8,BJD,2011-05-22,18.45,4.3
C.2011.13,BJD,2011-05-23,12.194,NA
C.2011.11,BJD,2011-05-23,7.822,0.3
C.2011.9,BJD,2011-05-22,28.616,8.8
C.2011.17,BJD,2011-05-26,16.794,1.1
C.2011.10,BJD,2011-05-22,8.975,2.1
C.2011.10,BJD,2011-05-22,11.284,11
C.2011.7,BJD,2011-05-22,22.327,8.8
C.2011.9,BJD,2011-05-22,11.8,12.3
C.2011.10,BJD,2011-05-22,12.419,11.3
C.2011.25,BJD,2011-05-27,11.011,6.7
C.2011.9,BJD,2011-05-22,24.289,12.3
C.2011.9,BJD,2011-05-22,43.541,5
C.2011.10,BJD,2011-05-22,38.234,16.6
C.2011.23,BJD,2011-05-26,16.644,7.3
C.2011.8,BJD,2011-05-22,20.315,20
C.2011.11,BJD,2011-05-23,12.632,2
C.2011.10,BJD,2011-05-22,18.999,12.4
C.2011.8,BJD,2011-06-01,38.406,0.7
C.2011.31,BJD,2011-05-28,17.999,11.7
C.2011.17,BJD,2011-05-26,8.695,8.3
C.2011.11,BJD,2011-05-23,21.415,12.5
C.2011.10,BJD,2011-05-22,18.439,4.6
C.2011.9,BJD,2011-05-22,20.359,16.2
C.2011.8,BJD,2011-05-22,25.85,17.9
C.2011.7,BJD,2011-05-22,12.086,8.7
C.2011.10,BJD,2011-05-22,22.584,17
C.2011.7,BJD,2011-05-22,33.223,17.8
C.2011.10,BJD,2011-05-22,23.282,11.5
C.2011.10,BJD,2011-05-22,19.706,14
C.2011.10,BJD,2011-05-22,9.509,NA
C.2011.10,BJD,2011-05-22,19.883,17.8
C.2011.10,BJD,2011-05-22,18.559,14.3
C.2011.16,BJD,2011-05-24,23.973,NA
C.2011.10,BJD,2011-05-22,15.422,6.3
C.2011.20,BJD,2011-05-26,26.958,NA
C.2011.26,BJD,2011-05-27,16.375,13
C.2011.10,BJD,2011-05-22,13.436,19.2
C.2011.10,BJD,2011-05-22,19.75,7.1
C.2011.9,BJD,2011-05-22,14.76,5.9
C.2011.25,BJD,2011-05-27,13.2,7.4
C.2011.8,BJD,2011-05-22,15.539,19.7
C.2011.25,BJD,2011-05-27,28.522,6.3
C.2011.25,BJD,2011-05-27,15.227,NA
C.2011.8,BJD,2011-05-22,16.839,5.4
C.2011.26,BJD,2011-05-27,38.017,13.2
C.2011.8,BJD,2011-05-22,13.9,14.7
C.2011.8,BJD,2011-05-22,42.334,5.4
C.2011.8,BJD,2011-05-22,15.679,1.6
C.2011.8,BJD,2011-05-22,9.361,NA
C.2011.10,BJD,2011-05-22,22.838,5
C.2011.16,BJD,2011-05-24,11.942,18.4
C.2011.16,BJD,2011-05-24,15.345,2.6
C.2011.20,BJD,2011-05-26,4.895,13.8
C.2011.24,BJD,2011-05-26,7.98,17
C.2011.19,BJD,2011-05-25,12.24,NA
C.2011.10,BJD,2011-05-22,11.057,8.3
C.2011.11,BJD,2011-05-23,14.155,3
C.2011.17,BJD,2011-05-26,4.079,16.9
C.2011.14,BJD,2011-05-26,8.204,NA
C.2011.39,BJD,2011-05-29,18.141,9.8
C.2011.35,BJD,2011-05-28,19.867,5.1
C.2011.9,BJD,2011-05-22,9.547,14.3
C.2011.10,BJD,2011-05-22,15.098,5.7
C.2011.23,BJD,2011-05-26,3.608,2.7
C.2011.29,BJD,2011-05-27,3.413,12.5
C.2011.20,BJD,2011-05-27,9.85,6.3
C.2011.53,BJD,2011-05-31,14.105,4.3
C.2011.22,BJD,2011-05-26,32.543,7.1
C.2011.33,BJD,2011-05-28,17.115,17.8
C.2011.35,BJD,2011-05-28,33.831,2.3
C.2011.28,BJD,2011-05-27,60.21,0.4
C.2011.48,BJD,2011-05-30,14.057,14
C.2011.17,BJD,2011-05-26,14.382,NA
C.2011.21,BJD,2011-05-26,65.903,6.4
C.2011.24,BJD,2011-05-26,13.666,19.1
C.2011.23,BJD,2011-05-26,3.619,NA
C.2011.24,BJD,2011-05-26,18.244,NA
C.2011.22,BJD,2011-05-26,38.059,11.4
C.2011.29,BJD,2011-05-27,58.086,12.5
C.2011.25,BJD,2011-05-27,11.945,NA
C.2011.12,BJD,2011-05-23,4.327,NA
C.2011.13,BJD,2011-05-23,7.486,13.3
C.2011.24,BJD,2011-05-26,8.765,19.7
C.2011.34,BJD,2011-05-28,11.453,6.1
C.2011.17,BJD,2011-05-26,50.557,6.9
C.2011.31,BJD,2011-05-28,21.723,NA
C.2011.29,BJD,2011-05-27,13.512,3.4
C.2011.22,BJD,2011-05-26,27.331,11
C.2011.22,BJD,2011-05-26,35.466,2.3
C.2011.12,BJD,2011-05-23,86.378,NA
C.2011.32,BJD,2011-05-28,47.079,NA
C.2011.22,BJD,2011-05-26,35.511,17.7
C.2011.24,BJD,2011-05-26,10.043,5.7
C.2011.31,BJD,2011-05-28,13.682,1.5
C.2011.22,BJD,2011-05-26,67.711,NA
C.2011.33,BJD,2011-05-28,38.968,6
C.2011.22,BJD,2011-05-26,22.481,NA
C.2011.27,BJD,2011-05-27,27.241,16.4
C.2011.22,BJD,2011-05-26,187.957,NA
C.2011.20,BJD,2011-05-26,8.542,NA
C.2011.22,BJD,2011-05-26,15.746,10.8
C.2011.19,BJD,2011-05-25,24.486,5.1
C.2011.14,BJD,2011-05-23,18.664,NA
C.2011.25,BJD,2011-05-27,62.275,0.2
C.2011.22,BJD,2011-05-26,13.848,13.2
C.2011.26,BJD,2011-05-27,5.835,NA
C.2011.24,BJD,2011-05-26,9.801,17
C.2011.32,BJD,2011-05-28,64.171,11
C.2011.23,BJD,2011-05-26,23.196,8.1
C.2011.32,BJD,2011-05-28,5.146,3.6
C.2011.25,BJD,2011-05-27,12.584,17
C.2011.32,BJD,2011-05-28,23.319,3.9
C.2011.50,BJD,2011-05-31,44.306,NA
C.2011.24,BJD,2011-05-26,12.89,NA
C.2011.19,BJD,2011-05-25,16.956,2.6
C.2011.30,BJD,2011-05-27,8.868,11
C.2011.19,BJD,2011-05-25,8.022,9.3
C.2011.21,BJD,2011-05-26,32.857,8
C.2011.13,BJD,2011-05-23,12.811,12.8
C.2011.14,BJD,2011-05-23,16.092,11.9
C.2011.14,BJD,2011-05-23,17.812,2.7
C.2011.31,BJD,2011-05-28,2.816,NA
C.2011.24,BJD,2011-05-26,12.62,4.4
C.2011.35,BJD,2011-05-28,18.752,3.3
C.2011.25,BJD,2011-05-27,43.978,0.1
C.2011.27,BJD,2011-05-27,51.177,19.6
C.2011.29,BJD,2011-05-27,17.052,NA
C.2011.35,BJD,2011-05-28,22.427,NA
C.2011.27,BJD,2011-05-27,38.532,19.5
C.2011.23,BJD,2011-05-26,60.683,NA
C.2011.27,BJD,2011-05-27,14.458,6.5
C.2011.24,BJD,2011-05-26,21.076,NA
C.2011.28,BJD,2011-05-27,43.518,1.5
C.2011.17,BJD,2011-05-26,37.142,1.8
C.2011.31,BJD,2011-05-28,39.296,4.9
C.2011.13,BJD,2011-05-23,14.242,18.6
C.2011.26,BJD,2011-05-27,26.217,2.6
C.2011.19,BJD,2011-05-25,18.256,5.3
C.2011.22,BJD,2011-05-26,31.885,6.9
C.2011.39,BJD,2011-05-29,27.027,8.5
C.2011.25,BJD,2011-05-27,10.013,12.7
C.2011.30,BJD,2011-05-27,24.367,NA
C.2011.12,BJD,2011-05-23,11.749,3.6
C.2011.53,BJD,2011-05-31,19.085,4.6
C.2011.26,BJD,2011-05-27,22.473,0
C.2011.30,BJD,2011-05-27,9.956,NA
C.2011.19,BJD,2011-05-25,240.873,NA
C.2011.24,BJD,2011-05-26,21.428,12.2
C.2011.21,BJD,2011-05-26,69.311,NA
C.2011.33,BJD,2011-05-28,38.963,0.1
