poop_id,extraction_date,extraction_observerID,extraction_volume,weigh_date,weigh_observerID,hair,contaminants,mass_g,extra,extractID
I3678,NA,NA,1000,NA,NA,NA,NA,0.05,NA,30
I5239,NA,NA,1000,NA,NA,NA,NA,0.05,NA,31
K0098,NA,NA,1000,NA,NA,NA,NA,0.05,NA,32
K0354,NA,NA,1000,NA,NA,NA,NA,0.05,NA,33
K0666,NA,NA,1000,NA,NA,NA,NA,0.05,NA,34
K1358,NA,NA,1000,NA,NA,NA,NA,0.05,NA,35
K1390,NA,NA,1000,NA,NA,NA,NA,0.05,NA,36
K1790,NA,NA,1000,NA,NA,NA,NA,0.05,NA,37
K2033,NA,NA,1000,NA,NA,NA,NA,0.05,NA,38
K2146,NA,NA,1000,NA,NA,NA,NA,0.05,NA,39
K2584,NA,NA,1000,NA,NA,NA,NA,0.05,NA,40
K2913,NA,NA,1000,NA,NA,NA,NA,0.05,NA,41
K3055,NA,NA,1000,NA,NA,NA,NA,0.05,NA,42
K3143,NA,NA,1000,NA,NA,NA,NA,0.05,NA,43
K3272,NA,NA,1000,NA,NA,NA,NA,0.05,NA,44
K3273,NA,NA,1000,NA,NA,NA,NA,0.05,NA,45
K3502,NA,NA,1000,NA,NA,NA,NA,0.05,NA,46
K3590,NA,NA,1000,NA,NA,NA,NA,0.05,NA,47
K3651,NA,NA,1000,NA,NA,NA,NA,0.05,NA,48
K3784,NA,NA,1000,NA,NA,NA,NA,0.05,NA,49
K3788,NA,NA,1000,NA,NA,NA,NA,0.05,NA,50
K3889,NA,NA,1000,NA,NA,NA,NA,0.05,NA,51
K3906,NA,NA,1000,NA,NA,NA,NA,0.05,NA,52
K4339,NA,NA,1000,NA,NA,NA,NA,0.05,NA,53
K5073,NA,NA,1000,NA,NA,NA,NA,0.05,NA,54
K5572,NA,NA,1000,NA,NA,NA,NA,0.05,NA,55
K5643,NA,NA,1000,NA,NA,NA,NA,0.05,NA,56
K6060,NA,NA,1000,NA,NA,NA,NA,0.05,NA,57
K6268,NA,NA,1000,NA,NA,NA,NA,0.05,NA,58
L0352,NA,NA,1000,NA,NA,NA,NA,0.05,NA,59
L0417,NA,NA,1000,NA,NA,NA,NA,0.05,NA,60
L0457,NA,NA,1000,NA,NA,NA,NA,0.05,NA,61
L0534,NA,NA,1000,NA,NA,NA,NA,0.05,NA,62
L1081,NA,NA,1000,NA,NA,NA,NA,0.05,NA,63
L1262,NA,NA,1000,NA,NA,NA,NA,0.05,NA,64
L1621,NA,NA,1000,NA,NA,NA,NA,0.05,NA,65
L1678,NA,NA,1000,NA,NA,NA,NA,0.05,NA,66
L1791,NA,NA,1000,NA,NA,NA,NA,0.05,NA,67
L1797,NA,NA,1000,NA,NA,NA,NA,0.05,NA,68
L1892,NA,NA,1000,NA,NA,NA,NA,0.05,NA,69
L2132,NA,NA,1000,NA,NA,NA,NA,0.05,NA,70
L2689,NA,NA,1000,NA,NA,NA,NA,0.05,NA,71
L2894,NA,NA,1000,NA,NA,NA,NA,0.05,NA,72
L3671,NA,NA,1000,NA,NA,NA,NA,0.05,NA,73
P0058,NA,NA,1000,NA,NA,NA,NA,0.05,NA,74
P0448,NA,NA,1000,NA,NA,NA,NA,0.05,NA,75
P1133,NA,NA,1000,NA,NA,NA,NA,0.05,NA,76
P1251,NA,NA,1000,NA,NA,NA,NA,0.05,NA,77
P1699,NA,NA,1000,NA,NA,NA,NA,0.05,NA,78
P2066,NA,NA,1000,NA,NA,NA,NA,0.05,NA,79
P2102,NA,NA,1000,NA,NA,NA,NA,0.05,NA,80
P2324,NA,NA,1000,NA,NA,NA,NA,0.05,NA,81
P2337,NA,NA,1000,NA,NA,NA,NA,0.05,NA,82
P2378,NA,NA,1000,NA,NA,NA,NA,0.05,NA,83
P3235,NA,NA,1000,NA,NA,NA,NA,0.05,NA,84
K2543,NA,NA,1000,2016-12-07,NA,FALSE,NA,0.051,NA,85
B2918,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.054,NA,86
I1162,NA,NA,1000,2016-02-12,NA,FALSE,NA,0.053,NA,87
I3754,NA,NA,1000,2015-09-02,FVK,NA,NA,0.049,NA,88
I3826,NA,NA,1000,2015-09-02,FVK,FALSE,needles removed,0.049,NA,89
P0083,NA,NA,1000,2015-10-23,NA,FALSE,NA,0.046,NA,90
P0888,NA,NA,1000,2015-10-23,NA,FALSE,NA,0.052,NA,91
H1419,NA,NA,1000,2015-10-20,NA,FALSE,bract and needles removed,0.054,NA,92
B3988,NA,NA,1000,2015-11-20,NA,FALSE,NA,0.048,NA,93
B3955,NA,NA,1000,2015-11-19,NA,FALSE,"bark, bract removed",0.051,NA,94
A0346,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.048,NA,95
B4052,NA,NA,1000,2015-11-20,NA,FALSE,NA,0.052,NA,96
E0617,NA,NA,1000,2015-10-25,NA,FALSE,bracts removed,0.052,NA,97
E0621,NA,NA,1000,2015-10-17,NA,FALSE,needles removed,0.055,NA,98
B3982,NA,NA,1000,2015-11-20,NA,FALSE,leaves removed,0.05,NA,99
P1817,NA,NA,1000,2015-11-18,NA,FALSE,bracts removed,0.055,NA,100
H0257,NA,NA,1000,2015-10-16,NA,FALSE,bracts removed,0.051,NA,101
P0039,NA,NA,1000,NA,NA,NA,NA,0.052,NA,102
P0256,NA,NA,1000,NA,NA,NA,NA,0.07,NA,103
B3974,NA,NA,1000,2015-11-20,NA,FALSE,bracts removed,0.049,NA,104
B3908,NA,NA,1000,2015-11-24,NA,FALSE,NA,0.05,NA,105
B3877,NA,NA,1000,2015-11-24,NA,FALSE,leaves removed,0.051,NA,106
B3858,NA,NA,1000,2015-11-24,NA,FALSE,grass removed,0.048,NA,107
B4093,NA,NA,1000,2015-11-30,NA,FALSE,bract and needles removed,0.048,NA,108
B3905,NA,NA,1000,2015-11-24,NA,FALSE,NA,0.05,NA,109
B4038,NA,NA,1000,2015-11-23,NA,FALSE,NA,0.019,NA,110
B3854,NA,NA,1000,NA,NA,NA,NA,0.05,NA,111
B3856,NA,NA,1000,NA,NA,NA,NA,0.055,NA,112
B3860,NA,NA,1000,NA,NA,NA,NA,0.06,NA,113
B3860,NA,NA,1000,NA,NA,NA,NA,0.06,NA,114
B3870,NA,NA,1000,NA,NA,NA,NA,0.05,NA,115
B3870,NA,NA,1000,NA,NA,NA,NA,0.05,NA,116
B3870,NA,NA,1000,NA,NA,NA,NA,0.05,NA,117
B3918,NA,NA,1000,NA,NA,NA,NA,0.057,NA,118
B3922,NA,NA,1000,NA,NA,NA,NA,0.051,NA,119
B3922,NA,NA,1000,NA,NA,NA,NA,0.051,NA,120
B3922,NA,NA,1000,NA,NA,NA,NA,0.057,NA,121
B3937,NA,NA,1000,NA,NA,NA,NA,0.055,NA,122
B3937,NA,NA,1000,NA,NA,NA,NA,0.055,NA,123
B3937,NA,NA,1000,NA,NA,NA,NA,0.055,NA,124
B3937,NA,NA,1000,NA,NA,NA,NA,0.055,NA,125
B3989,NA,NA,1000,NA,NA,NA,NA,0.051,NA,126
B3989,NA,NA,1000,NA,NA,NA,NA,0.051,NA,127
B3989,NA,NA,1000,NA,NA,NA,NA,0.051,NA,128
B3989,NA,NA,1000,NA,NA,NA,NA,0.053,NA,129
B3999,NA,NA,1000,NA,NA,NA,NA,0.051,NA,130
B3999,NA,NA,1000,NA,NA,NA,NA,0.054,NA,131
B3999,NA,NA,1000,NA,NA,NA,NA,0.057,NA,132
B4000,NA,NA,1000,NA,NA,NA,NA,0.039,NA,133
B4000,NA,NA,1000,NA,NA,NA,NA,0.039,NA,134
B4000,NA,NA,1000,NA,NA,NA,NA,0.051,NA,135
B4000,NA,NA,1000,NA,NA,NA,NA,0.051,NA,136
B4012,NA,NA,1000,2015-11-30,NA,TRUE,bracts removed,0.051,NA,137
B4012,NA,NA,1000,2015-12-15,NA,FALSE,needles removed,0.053,NA,138
B4016,NA,NA,1000,NA,NA,NA,NA,0.053,NA,139
B4016,NA,NA,1000,NA,NA,NA,NA,0.053,NA,140
B4016,NA,NA,1000,NA,NA,NA,NA,0.053,NA,141
B4016,NA,NA,1000,NA,NA,NA,NA,0.053,NA,142
B4016,NA,NA,1000,NA,NA,NA,NA,0.057,NA,143
B4019,NA,NA,1000,2015-11-23,NA,FALSE,NA,0.053,TRUE,144
B4043,NA,NA,1000,NA,NA,NA,NA,0.053,NA,145
B4043,NA,NA,1000,NA,NA,NA,NA,0.053,NA,146
B4043,NA,NA,1000,NA,NA,NA,NA,0.053,NA,147
B4043,NA,NA,1000,NA,NA,NA,NA,0.053,NA,148
B4043,NA,NA,1000,NA,NA,NA,NA,0.053,NA,149
B4045,NA,NA,1000,NA,NA,NA,NA,0.039,NA,150
B4045,NA,NA,1000,NA,NA,NA,NA,0.052,NA,151
B4069,NA,NA,1000,2015-11-19,NA,FALSE,NA,0.05,NA,152
B4069,NA,NA,1000,2015-12-15,NA,FALSE,grass removed,0.048,NA,153
B4072,NA,NA,1000,NA,NA,NA,NA,0.042,NA,154
B4072,NA,NA,1000,NA,NA,NA,NA,0.042,NA,155
B4072,NA,NA,1000,NA,NA,NA,NA,0.05,NA,156
B4074,NA,NA,1000,2015-12-01,NA,FALSE,NA,0.049,NA,157
B4074,NA,NA,1000,NA,NA,NA,NA,0.054,NA,158
B4501,NA,NA,1000,NA,NA,NA,NA,0.055,NA,159
B4501,NA,NA,1000,NA,NA,NA,NA,0.055,NA,160
C0420,NA,NA,1000,NA,NA,NA,NA,0.052,NA,161
C0420,NA,NA,1000,NA,NA,NA,NA,0.054,NA,162
C0681,NA,NA,1000,2015-11-24,NA,FALSE,NA,0.014,NA,163
L1762,2018-06-01,Mark Castaneda,1000,2018-03-28,Adam Scott,FALSE,NA,0.05,TRUE,164
P2210,NA,NA,1000,NA,NA,NA,NA,0.051,NA,165
P2210,NA,NA,1000,NA,NA,NA,NA,0.051,NA,166
K3213,NA,NA,1000,2016-11-22,NA,FALSE,needles removed,0.052,NA,167
P2210,NA,NA,1000,NA,NA,NA,NA,0.051,NA,168
P0075,NA,NA,1000,2015-10-28,NA,TRUE,NA,0.011,NA,169
B4019,NA,NA,1000,2015-11-23,NA,FALSE,NA,0.053,NA,170
A0803,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.054,NA,171
A1379,NA,NA,1000,2015-11-12,NA,TRUE,NA,0.051,NA,172
B0850,NA,NA,1000,2015-11-03,NA,FALSE,needles removed,0.017,NA,173
B1686,NA,NA,1000,2015-11-03,NA,FALSE,grass removed,0.05,NA,174
L1762,2018-03-01,Mark Castaneda,1000,2018-02-16,Jinghan Xu,FALSE,leaves and needles removed,0.05,TRUE,175
013.90,2018-07-01,Mark Castaneda,1000,2018-06-15,Mark Castaneda,NA,NA,NA,FALSE,176
H0410,NA,NA,1000,2015-10-11,FVK,FALSE,needles removed,0.05,NA,177
H0789,NA,NA,1000,2015-10-08,FVK,FALSE,NA,0.053,NA,178
H1569,NA,NA,1000,2015-10-11,FVK,FALSE,NA,0.051,NA,179
H1659,NA,NA,1000,2015-10-15,NA,FALSE,bracts removed,0.053,NA,180
H0799,NA,NA,1000,2015-10-11,FVK,FALSE,needles removed,0.048,NA,181
H1096,NA,NA,1000,2015-10-11,FVK,FALSE,needles removed,0.052,NA,182
H1166,NA,NA,1000,2015-10-08,FVK,FALSE,bracts and grass removed,0.047,NA,183
H1103,NA,NA,1000,2015-10-11,FVK,FALSE,bracts removed,0.051,NA,184
H1165,NA,NA,1000,2015-10-08,FVK,FALSE,NA,0.049,NA,185
H1180,NA,NA,1000,2015-10-08,FVK,FALSE,needles removed,0.05,NA,186
H1242,NA,NA,1000,2015-10-08,FVK,FALSE,bracts and grass removed,0.046,NA,187
H1286,NA,NA,1000,2015-10-11,FVK,FALSE,needles removed,0.047,NA,188
K1478,NA,NA,1000,2017-01-18,NA,TRUE,bracts removed,0.048,NA,189
K5525,NA,NA,1000,2016-11-08,NA,FALSE,leaves removed,0.052,NA,190
K5595,NA,NA,1000,2016-11-09,NA,FALSE,needles removed,0.029,NA,191
K5710,NA,NA,1000,2016-11-08,NA,FALSE,needles removed,0.051,NA,192
K5715,NA,NA,1000,2016-11-08,NA,FALSE,leaves removed,0.052,NA,193
K5792,NA,NA,1000,2016-11-08,NA,FALSE,needles removed,0.026,NA,194
K5892,NA,NA,1000,2016-11-09,NA,FALSE,needles removed,0.022,NA,195
K6396,NA,NA,1000,2016-11-08,NA,FALSE,leaves removed,0.05,NA,196
K6452,NA,NA,1000,2016-11-08,NA,TRUE,NA,0.041,NA,197
K6584,NA,NA,1000,2016-11-08,NA,FALSE,leaves and needles removed,0.05,NA,198
H0669,NA,NA,1000,2015-10-16,NA,FALSE,NA,0.03,NA,199
H0563,NA,NA,1000,2015-10-15,NA,TRUE,NA,0.049,NA,200
H0576,NA,NA,1000,2015-10-13,NA,FALSE,NA,0.051,NA,201
H0356,NA,NA,1000,2015-10-13,NA,FALSE,bract and needles removed,0.051,NA,202
H0262,NA,NA,1000,2015-10-15,NA,FALSE,NA,0.043,NA,203
K660,NA,NA,1000,NA,NA,NA,NA,0.05,NA,204
003.84,NA,NA,1000,2018-11-27,Erica Walker,TRUE,NA,0.045,NA,205
004.14,NA,NA,1000,2019-02-12,Odessa Fung,TRUE,plant material removed,0.02,NA,206
005.48,NA,NA,1000,2018-12-06,Odessa Fung,TRUE,NA,0.034,NA,207
007.86,NA,NA,1000,2019-03-26,Erica Walker,FALSE,NA,0.039,NA,208
011.29,NA,NA,1000,2019-02-20,Odessa Fung,TRUE,NA,0.026,NA,209
013.36,NA,NA,1000,2019-02-01,Odessa Fung,FALSE,NA,0.036,NA,210
013.65,NA,NA,1000,2019-02-12,Odessa Fung,FALSE,NA,0.031,NA,211
015.46,NA,NA,1000,2019-03-12,Odessa Fung,TRUE,NA,0.032,NA,212
015.96,NA,NA,1000,2019-04-04,Erica Walker,FALSE,NA,0.03,NA,213
016.30,NA,NA,1000,2018-11-13,Erica Walker,FALSE,NA,0.021,NA,214
016.69,NA,NA,1000,2019-02-20,Odessa Fung,FALSE,NA,0.045,NA,215
017.42,NA,NA,1000,2019-03-26,Erica Walker,FALSE,NA,0.027,NA,216
017.60,NA,NA,1000,2018-12-06,Odessa Fung,TRUE,NA,0.028,NA,217
018.68,NA,NA,1000,2019-03-13,Odessa Fung,FALSE,plant material removed,0.045,NA,218
018.98,NA,NA,1000,2018-12-06,Odessa Fung,FALSE,NA,0.041,NA,219
019.55,NA,NA,1000,2018-11-20,Erica Walker,FALSE,plant material removed,0.028,NA,220
019.62,NA,NA,1000,2018-11-15,Odessa Fung,TRUE,NA,0.043,NA,221
019.94,NA,NA,1000,2019-03-20,Odessa Fung,TRUE,NA,0.044,NA,222
020.05,NA,NA,1000,2018-11-20,Erica Walker,FALSE,NA,0.022,NA,223
020.18,NA,NA,1000,2019-02-12,Odessa Fung,TRUE,plant material removed,0.042,NA,224
020.77,NA,NA,1000,2019-02-06,Odessa Fung,FALSE,NA,0.04,NA,225
020.92,NA,NA,1000,2018-11-20,Erica Walker,FALSE,NA,0.029,NA,226
020.96,NA,NA,1000,2019-02-05,Odessa Fung,FALSE,NA,0.025,NA,227
021.02,NA,NA,1000,2019-01-16,Odessa Fung,FALSE,NA,0.046,NA,228
021.93,NA,NA,1000,2019-03-26,Erica Walker,TRUE,NA,0.034,NA,229
022.74,NA,NA,1000,2019-02-12,Odessa Fung,FALSE,NA,0.011,NA,230
023.51,NA,NA,1000,2019-02-05,Odessa Fung,FALSE,NA,0.019,NA,231
024.49,NA,NA,1000,2019-03-19,Odessa Fung,TRUE,NA,0.028,NA,232
024.66,NA,NA,1000,2018-11-27,Erica Walker,TRUE,NA,0.047,NA,233
B1915,NA,NA,1000,2015-11-09,NA,FALSE,NA,0.027,NA,234
B2571,NA,NA,1000,2015-11-09,NA,FALSE,NA,0.042,NA,235
B3083,NA,NA,1000,2015-11-20,NA,FALSE,NA,0.026,NA,236
B3178,NA,NA,1000,2015-11-09,NA,FALSE,NA,0.009,NA,237
B3933,NA,NA,1000,2015-11-20,NA,FALSE,bracts removed,0.039,NA,238
B4377,NA,NA,1000,2015-11-20,NA,FALSE,NA,0.04,NA,239
B4390,NA,NA,1000,2015-11-23,NA,FALSE,NA,0.046,NA,240
H0738,NA,NA,1000,2015-10-14,NA,FALSE,NA,0.05,NA,241
H2315,NA,NA,1000,2015-10-14,NA,FALSE,NA,0.05,NA,242
K5902,NA,NA,1000,2016-11-10,NA,TRUE,NA,0.05,NA,243
K6276,NA,NA,1000,2016-11-11,NA,FALSE,NA,0.05,NA,244
H1042,NA,NA,1000,2015-10-11,FVK,FALSE,NA,0.031,NA,245
H1902,NA,NA,1000,2015-10-11,FVK,FALSE,needles removed,0.05,NA,246
H1693,NA,NA,1000,2015-10-20,FVK,TRUE,bract and needles removed,0.048,NA,247
H0776,NA,NA,1000,2015-10-17,NA,FALSE,bracts removed,0.052,NA,248
L2934,2018-03-01,Mark Castaneda,1000,2018-03-09,Jinghan Xu,FALSE,leaves and seedling removed,0.05,TRUE,249
003.03,2018-06-01,Mark Castaneda,1000,2018-06-06,Mark Castaneda,NA,NA,NA,FALSE,250
B1718,NA,NA,1000,2015-12-15,NA,FALSE,NA,0.051,NA,251
P2408,NA,NA,1000,2015-11-05,NA,FALSE,NA,0.052,NA,252
L0382,2018-03-01,Mark Castaneda,1000,2018-01-22,Alexandra Geiger,FALSE,NA,0.049,TRUE,253
L2981,2018-03-01,Mark Castaneda,1000,2018-03-02,Adam Scott,FALSE,seedling removed,0.005,FALSE,254
I1330,NA,NA,1000,NA,NA,NA,NA,0.05,NA,255
I2822,NA,NA,1000,2015-09-01,FVK,FALSE,NA,0.049,NA,256
I3291,NA,NA,1000,NA,NA,NA,NA,0.05,NA,257
I3424,NA,NA,1000,NA,NA,NA,NA,0.051,NA,258
I3579,NA,NA,1000,NA,NA,NA,NA,0.05,NA,259
I3636,NA,NA,1000,NA,NA,NA,NA,0.054,NA,260
I3649,NA,NA,1000,NA,NA,NA,NA,0.049,NA,261
I3758,NA,NA,1000,NA,NA,NA,NA,0.049,NA,262
P2384,NA,NA,1000,2015-11-07,NA,FALSE,NA,0.048,NA,263
H2518,NA,NA,1000,2015-10-23,NA,TRUE,NA,0.051,NA,264
P0137,NA,NA,1000,2015-11-13,NA,TRUE,lots of bracts and hair,0.048,NA,265
P2892,NA,NA,1000,2015-11-06,NA,FALSE,NA,0.05,NA,266
L0475,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.05,NA,267
L0476,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.054,NA,268
L0483,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.05,NA,269
L0499,NA,NA,1000,2018-01-08,NA,FALSE,leaves and needles removed,0.053,NA,270
L0504,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.034,NA,271
L0508,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.051,NA,272
L0532,NA,NA,1000,2018-01-04,NA,TRUE,grass removed,0.016,NA,273
L0536,NA,NA,1000,2018-01-04,NA,TRUE,bark removed,0.049,NA,274
L0547,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.05,NA,275
L0579,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.049,NA,276
L0595,NA,NA,1000,2018-01-08,NA,FALSE,NA,0.038,NA,277
L0606,NA,NA,1000,2018-01-10,NA,FALSE,bracts removed,0.051,NA,278
L0610,NA,NA,1000,2018-01-17,NA,FALSE,NA,0.05,NA,279
L0624,NA,NA,1000,2018-01-08,NA,FALSE,NA,0.051,NA,280
L0629,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,281
L0638,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.053,NA,282
L0640,NA,NA,1000,2018-01-05,NA,TRUE,NA,0.05,NA,283
L0641,NA,NA,1000,2018-01-05,NA,TRUE,bract and grass removed,0.051,NA,284
L0650,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.031,NA,285
L0680,NA,NA,1000,2018-01-10,NA,TRUE,NA,0.05,NA,286
L0716,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.051,NA,287
L0721,NA,NA,1000,2018-01-05,NA,FALSE,NA,0.052,NA,288
L0725,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,289
L0737,NA,NA,1000,2018-01-12,NA,FALSE,leaves removed,0.052,NA,290
L0766,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.028,NA,291
L0804,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.053,NA,292
L0846,NA,NA,1000,2018-01-17,NA,FALSE,NA,0.051,NA,293
L0897,NA,NA,1000,2018-01-17,NA,FALSE,NA,0.053,NA,294
L0898,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.051,NA,295
L0963,NA,NA,1000,2018-01-03,NA,FALSE,NA,0.053,NA,296
L0979,NA,NA,1000,2018-01-03,NA,FALSE,NA,0.053,NA,297
L1020,NA,NA,1000,2018-01-12,NA,FALSE,leaves removed,0.05,NA,298
L1025,NA,NA,1000,2018-01-03,NA,FALSE,bracts removed,0.053,NA,299
L1027,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.05,NA,300
L1044,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.019,NA,301
L1053,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,302
L1058,NA,NA,1000,2018-01-08,NA,FALSE,NA,0.049,NA,303
L1070,NA,NA,1000,2018-01-11,NA,TRUE,NA,0.051,NA,304
L1074,NA,NA,1000,2018-01-10,NA,FALSE,grass and leaves removed,0.053,NA,305
L1078,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.019,NA,306
L1085,NA,NA,1000,2018-01-12,NA,TRUE,needles removed,0.051,NA,307
L1106,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,308
L1113,NA,NA,1000,2018-01-05,NA,FALSE,NA,0.052,NA,309
L1115,NA,NA,1000,2018-01-03,NA,FALSE,NA,0.05,NA,310
L1119,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.051,NA,311
L1138,NA,NA,1000,2018-01-11,NA,TRUE,needles removed,0.051,NA,312
L1144,NA,NA,1000,2018-01-03,NA,FALSE,NA,0.035,NA,313
L1147,NA,NA,1000,2018-01-08,NA,FALSE,NA,0.051,NA,314
L1156,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.052,NA,315
L1159,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.028,NA,316
L1161,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,317
L1175,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.052,NA,318
L1185,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.052,NA,319
L1197,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.05,NA,320
L1203,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.05,NA,321
L1207,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.035,NA,322
L1210,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.042,NA,323
L1228,NA,NA,1000,2018-01-12,NA,TRUE,NA,0.052,NA,324
L1250,NA,NA,1000,2018-01-04,NA,FALSE,grass removed,0.053,NA,325
L1267,NA,NA,1000,2018-01-17,NA,FALSE,grass removed,0.053,NA,326
L1269,NA,NA,1000,2018-01-04,NA,TRUE,NA,0.048,NA,327
L1275,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.049,NA,328
L1281,NA,NA,1000,2018-01-03,NA,FALSE,leaves removed,0.05,NA,329
L1285,NA,NA,1000,2018-01-03,NA,TRUE,NA,0.049,NA,330
L1290,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.048,NA,331
L1294,NA,NA,1000,2018-01-12,NA,FALSE,needles removed,0.048,NA,332
L1297,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.053,NA,333
L1300,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.052,NA,334
L1308,NA,NA,1000,2018-01-10,NA,FALSE,grass removed,0.053,NA,335
L1324,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.052,NA,336
L1329,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.049,NA,337
L1331,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.053,NA,338
L1334,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.05,NA,339
L1340,NA,NA,1000,2018-01-11,NA,FALSE,NA,0.051,NA,340
L1352,NA,NA,1000,2018-01-10,NA,FALSE,NA,0.051,NA,341
L1412,NA,NA,1000,2018-01-08,NA,FALSE,needles removed,0.051,NA,342
L1458,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.05,NA,343
L1461,NA,NA,1000,2018-01-12,NA,FALSE,NA,0.017,NA,344
L1462,NA,NA,1000,2018-01-04,NA,FALSE,NA,0.034,NA,345
L1468,NA,NA,1000,2018-01-10,NA,FALSE,bract and needles removed,0.051,NA,346
L1469,NA,NA,1000,2018-01-05,NA,FALSE,NA,0.05,NA,347
L1492,NA,NA,1000,2018-01-17,NA,FALSE,NA,0.053,NA,348
L1494,NA,NA,1000,2018-01-04,NA,FALSE,grass removed,0.049,NA,349
L1495,NA,NA,1000,2018-01-03,NA,FALSE,NA,0.053,NA,350
L1969,NA,NA,1000,2018-01-05,NA,FALSE,grass removed,0.051,NA,351
K3447,NA,NA,1000,2017-03-09,NA,NA,NA,0.05,NA,352
P1669,NA,NA,1000,2015-10-27,NA,FALSE,NA,0.051,NA,353
000.01,2018-06-01,Mark Castaneda,1000,2018-06-08,Mark Castaneda,FALSE,NA,0.053,TRUE,354
000.02,2018-06-01,Mark Castaneda,1000,2018-06-12,Mark Castaneda,FALSE,NA,0.05,TRUE,355
